PNR,Complaint,Department
,Seats tuti hui thi sleeper coach me comfort zero tha,Technical Maintenance (Coach)
,Train late thi par koi update nahi mila app bhi kaam nahi kar raha tha,Operations & scheduling
,Staff behaved rudely when asked for assistance very unprofessional,Staff Behavior & Customer Service
,The AC in my coach stopped working during the night journey from Mumbai,Technical Maintenance (Coach)
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Ticket booking website was down for a long time causing inconvenience,Commercial & Ticketing
,Coach ka toilet bahut ganda tha bilkul maintain nahi kiya gaya,Cleanliness & Housekeeping
,The food served in the pantry car was cold and of poor quality,Catering & Food Quality
,Announcement system band tha Howrah pe train ka status nahi mila,Operations & Scheduling
,Bedding in AC coach was not clean and had stains,Cleanliness & Housekeeping
,Public announcement system not functioning properly at Jaipur,Operations & Scheduling
,Dustbin missing tha platform Jaipur par itna bada station fir bhi basic cheezein nahi,Station Management & Infrastructure
,Ticket cancellation charges are too high need review,Commercial & Ticketing
,RPF staff dikhe hi nahi security issue ho gaya,Security & Rpf
,AC band tha poori raat bahut garmi lagi journey ke dauraan,Technical Maintenance (Coach)
,Bedding bahut ganda tha 2AC coach me koi dhyan nahi deta,Cleanliness & Housekeeping
,Train arrived late but no prior message was received,Operations & scheduling
,Seats tuti hui thi sleeper coach me comfort zero tha,Technical Maintenance (Coach)
,Train late thi par koi update nahi mila app bhi kaam nahi kar raha tha,Operations & scheduling
,Only one inquiry counter open at Kolkata crowd mismanagement,Station Management & Infrastructure
,Food vendor ne extra paisa maanga aur bill dene se mana kar diya,Catering & Food Quality
,No dustbins available on the platform at Howrah,Station Management & Infrastructure
,Platform ke lights blink kar rahe the Howrah pe maintenance zero,Technical Maintenance (Coach)
,Bedding in AC coach was not clean and had stains,Cleanliness & Housekeeping
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Buzurg passengers ko help nahi ki gayi staff bas dekhte rahe,Staff Behavior & Customer Service
,Train beech raste me 45 minutes ke liye ruk gayi reason bhi nahi bataya,Operations & scheduling
,The AC in my coach stopped working during the night journey from Jaipur,Technical Maintenance (Coach)
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Ticket booking website was down for a long time causing inconvenience,Commercial & Ticketing
,Coach ka toilet bahut ganda tha bilkul maintain nahi kiya gaya,Cleanliness & Housekeeping
,The food served in the pantry car was cold and of poor quality,Catering & Food Quality
,Announcement system band tha Kolkata pe train ka status nahi mila,Operations & scheduling
,Public announcement system not functioning properly at Secunderabad,Operations & scheduling
,Dustbin missing tha platform Secunderabad par itna bada station fir bhi basic cheezein nahi,Station Management & Infrastructure
,Ticket cancellation charges are too high need review,Commercial & Ticketing
,RPF staff dikhe hi nahi security issue ho gaya,Security & Rpf
,AC band tha poori raat bahut garmi lagi journey ke dauraan,Technical Maintenance (Coach)
,Bedding bahut ganda tha 2AC coach me koi dhyan nahi deta,Cleanliness & Housekeeping
,Bedding in AC coach was not clean and had stains,Cleanliness & Housekeeping
,Train arrived late but no prior message was received,Operations & scheduling
,Seats tuti hui thi sleeper coach me comfort zero tha,Technical Maintenance (Coach)
,Train late thi par koi update nahi mila app bhi kaam nahi kar raha tha,Operations & scheduling
,Buzurg passengers ko help nahi ki gayi staff bas dekhte rahe,Staff Behavior & Customer Service
,Only one inquiry counter open at Kolkata crowd mismanagement,Station Management & Infrastructure
,Food vendor ne extra paisa maanga aur bill dene se mana kar diya,Catering & Food Quality
,No dustbins available on the platform at Howrah,Station Management & Infrastructure
,Platform ke lights blink kar rahe the Howrah pe maintenance zero,Technical Maintenance (Coach)
,Bedding bahut ganda tha 2AC coach me koi dhyan nahi deta,Cleanliness & Housekeeping
,Only one inquiry counter open at Guwahati crowd mismanagement,Station Management & Infrastructure
,Train beech raste me 45 minutes ke liye ruk gayi reason bhi nahi bataya,Operations & scheduling
,No dustbins available on the platform at Jaipur,Station Management & Infrastructure
,Announcement system band tha Jaipur pe train ka status nahi mila,Operations & scheduling
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Bedding in AC coach was not clean and had stains,Cleanliness & Housekeeping
,Staff behaved rudely when asked for assistance very unprofessional,Staff Behavior & Customer Service
,The AC in my coach was not working properly during the journey from Delhi,Technical Maintenance (Coach)
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Only one inquiry counter open at Howrah crowd mismanagement,Station Management & Infrastructure
,The food served in the pantry car was cold and of poor quality,Catering & Food Quality
,Coach ka toilet bahut ganda tha bilkul maintain nahi kiya gaya,Cleanliness & Housekeeping
,Buzurg passengers ko help nahi ki gayi staff bas dekhte rahe,Staff Behavior & Customer Service
,No dustbins available on the platform at Secunderabad,Station Management & Infrastructure
,Platform ke lights blink kar rahe the Secunderabad pe maintenance zero,Technical Maintenance (Coach)
,Train arrived late but no prior message was received,Operations & scheduling
,Seats tuti hui thi sleeper coach me comfort zero tha,Technical Maintenance (Coach)
,Train late thi par koi update nahi mila app bhi kaam nahi kar raha tha,Operations & scheduling
,Staff behaved rudely when asked for assistance very unprofessional,Staff Behavior & Customer Service
,The AC in my coach stopped working during the night journey from Mumbai,Technical Maintenance (Coach)
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Ticket booking website was down for a long time causing inconvenience,Commercial & Ticketing
,Coach ka toilet bahut ganda tha bilkul maintain nahi kiya gaya,Cleanliness & Housekeeping
,The food served in the pantry car was cold and of poor quality,Catering & Food Quality
,Announcement system band tha Howrah pe train ka status nahi mila,Operations & scheduling
,Bedding in AC coach was not clean and had stains,Cleanliness & Housekeeping
,Public announcement system not functioning properly at Jaipur,Operations & scheduling
,Dustbin missing tha platform Jaipur par itna bada station fir bhi basic cheezein nahi,Station Management & Infrastructure
,Ticket cancellation charges are too high need review,Commercial & Ticketing
,RPF staff dikhe hi nahi security issue ho gaya,Security & Rpf
,AC band tha poori raat bahut garmi lagi journey ke dauraan,Technical Maintenance (Coach)
,Bedding bahut ganda tha 2AC coach me koi dhyan nahi deta,Cleanliness & Housekeeping
,Train 2 ghante se zyada late thi near Ahmedabad koi announcement nahi hua,Operations & scheduling
,The train halted for 40 minutes between stations without any information,Operations & scheduling
,The AC in my coach stopped working during the night journey from Jaipur,Technical Maintenance (Coach)
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Food vendor ne extra paisa maanga aur bill dene se mana kar diya,Catering & Food Quality
,Ticket booking website was down for a long time causing inconvenience,Commercial & Ticketing
,Coach ka toilet bahut ganda tha bilkul maintain nahi kiya gaya,Cleanliness & Housekeeping
,The food served in the pantry car was cold and of poor quality,Catering & Food Quality
,Announcement system band tha Kolkata pe train ka status nahi mila,Operations & scheduling
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Coach ka toilet bahut ganda tha bilkul maintain nahi kiya gaya,Cleanliness & Housekeeping
,Public announcement system not functioning properly at Secunderabad,Operations & scheduling
,Dustbin missing tha platform Secunderabad par itna bada station fir bhi basic cheezein nahi,Station Management & Infrastructure
,Ticket cancellation charges are too high need review,Commercial & Ticketing
,RPF staff dikhe hi nahi security issue ho gaya,Security & Rpf
,AC band tha poori raat bahut garmi lagi journey ke dauraan,Technical Maintenance (Coach)
,Bedding bahut ganda tha 2AC coach me koi dhyan nahi deta,Cleanliness & Housekeeping
,Bedding in AC coach was not clean and had stains,Cleanliness & Housekeeping
,Pantry staff was not wearing gloves while serving food,Catering & Food Quality
,The ticket booking app crashed multiple times while trying to book,Commercial & Ticketing
,No security personnel were present in our coach during the night,Security & Rpf
,Coach me paani khatam ho gaya tha subah tak nahi aaya,Cleanliness & Housekeeping
,Train ka platform last minute pe change kar diya bhag daud ho gayi,Operations & Scheduling
,Charging socket was broken near my seat couldn t charge my phone,Technical Maintenance (Coach)
,Waiting room at Lucknow station was very crowded and dirty,Station Management & Infrastructure
,TTE was very arrogant and did not speak properly with senior citizens,Staff Behavior & Customer Service
,The quality of the blanket provided was very poor and it was torn,Cleanliness & Housekeeping
,Refund for my cancelled ticket has not been processed for over a month,Commercial & Ticketing
,Unauthorized vendors are selling items inside the reserved coaches,Security & Rpf
,The train was delayed by over 3 hours and no reason was provided,Operations & Scheduling
,Food was extremely spicy despite requesting for less spicy options,Catering & Food Quality
,The fan in the sleeper coach was not working at all,Technical Maintenance (Coach)
,Lack of drinking water facilities at the station,Station Management & Infrastructure
,The cleaning staff did not clean the coach even once during the 12 hour journey,Cleanliness & Housekeeping
,Staff in the pantry car refused to provide a menu card,Staff Behavior & Customer Service
,My luggage was stolen from the overhead rack and no RPF was available,Security & Rpf
,The train information display board at the station was not working,Station Management & Infrastructure
,Online food booking service was not available for this train,Commercial & Ticketing
,The train jerked violently multiple times causing discomfort,Technical Maintenance (Coach)
,The food served was stale and had a bad smell,Catering & Food Quality
,Train schedule changed without any prior notification via SMS,Operations & Scheduling
,The washroom door was broken and could not be locked,Technical Maintenance (Coach)
,Staff member was sleeping on duty and did not respond to queries,Staff Behavior & Customer Service
,The platform was poorly lit making it difficult to walk at night,Station Management & Infrastructure
,Rats were seen running around in the AC coach,Cleanliness & Housekeeping
,There was no water in the toilets for the entire journey,Cleanliness & Housekeeping
,A window pane in the coach was cracked making it unsafe,Technical Maintenance (Coach)
,The train stopped at a non scheduled station for over an hour,Operations & Scheduling
,My pre booked meal was not delivered to my seat,Catering & Food Quality
,The TTE did not have a proper ID card and was rude,Staff Behavior & Customer Service
,Unauthorised people entered the reserved coach and occupied seats,Security & Rpf
,The booking website showed seat availability but it failed at the payment step,Commercial & Ticketing
,Escalator at the station was out of service causing issues for old people,Station Management & Infrastructure
,The water cooler on the platform was not working,Station Management & Infrastructure
,The food was overpriced compared to the quality and quantity,Catering & Food Quality
,The train was supposed to depart from platform 2 but left from platform 5,Operations & Scheduling
,Pillow provided had a foul smell,Cleanliness & Housekeeping
,Staff was not helpful in guiding passengers to their coach,Staff Behavior & Customer Service
,My seat was already occupied by someone else and the TTE did not help,Commercial & Ticketing
,The charging point was not working throughout the journey,Technical Maintenance (Coach)
,Begging is a major nuisance inside the train coaches,Security & Rpf
,Train was running late by 6 hours which is unacceptable,Operations & Scheduling
,The food packaging was damaged and the food had spilled,Catering & Food Quality
,The coach was infested with cockroaches,Cleanliness & Housekeeping
,No proper queue system at the ticket counter,Station Management & Infrastructure
,The railway staff was not wearing a uniform,Staff Behavior & Customer Service
,The emergency window was jammed and could not be opened,Technical Maintenance (Coach)
,There was a power cut in the coach for more than an hour at night,Technical Maintenance (Coach)
,I was charged extra for a water bottle in the pantry car,Catering & Food Quality
,The train was extremely crowded even in the reserved compartment,Security & Rpf
,The announcement for the train s arrival was made too late,Operations & Scheduling
,The toilet flush was not working,Cleanliness & Housekeeping
,The railway inquiry helpline number was continuously busy,Staff Behavior & Customer Service
,The platform surface is uneven and has potholes,Station Management & Infrastructure
,I paid for a confirmed ticket but got a RAC seat,Commercial & Ticketing
,The coach attendant was demanding tips from every passenger,Staff Behavior & Customer Service
,The door of the coach was not closing properly causing a security risk,Technical Maintenance (Coach)
,The train s GPS location was not updating on the app,Operations & Scheduling
,The soup served was just hot water with some vegetables,Catering & Food Quality
,The area near the dustbin was very dirty and smelly,Cleanliness & Housekeeping
,A group of people were creating a nuisance and no RPF staff intervened,Security & Rpf
,The lift at the station was not working,Station Management & Infrastructure
,I was allotted a seat that did not even exist in the coach,Commercial & Ticketing
,The reading light above my seat was not functional,Technical Maintenance (Coach)
,The train took a different route without any prior information,Operations & Scheduling
,The quality of tea served was very bad,Catering & Food Quality
,The bedsheet provided had holes in it,Cleanliness & Housekeeping
,The staff was talking very loudly during the night,Staff Behavior & Customer Service
,Some people were smoking inside the train toilet,Security & Rpf
,There is no proper shelter on the platform to protect from rain,Station Management & Infrastructure
,My ticket was confirmed but my name was not on the chart,Commercial & Ticketing
,The fan was running at a very high speed and could not be regulated,Technical Maintenance (Coach)
,The train departed 15 minutes before its scheduled time,Operations & Scheduling
,The food quantity was very less for the price charged,Catering & Food Quality
,The mirror in the washroom was broken,Cleanliness & Housekeeping
,The TTE was not able to provide information about the train s delay,Staff Behavior & Customer Service
,Thefts are very common on this route need more security,Security & Rpf
,The station did not have a ramp for wheelchair access,Station Management & Infrastructure
,I lost my booking confirmation and the website has no option to resend it,Commercial & Ticketing
,The water from the AC duct was leaking onto my seat,Technical Maintenance (Coach)
,The train was cancelled and I did not receive any notification,Operations & Scheduling
,The curd served with the meal was sour,Catering & Food Quality
,The dustbins in the coach were overflowing,Cleanliness & Housekeeping
,The staff was not aware of the platform number for the connecting train,Staff Behavior & Customer Service
,People were playing loud music at night and no one stopped them,Security & Rpf
,The benches on the platform were broken,Station Management & Infrastructure
,The payment for the ticket was deducted twice from my account,Commercial & Ticketing
,The side berth was very uncomfortable due to a faulty lock,Technical Maintenance (Coach)
,The train was running on a diverted route causing a long delay,Operations & Scheduling
,The rice served was undercooked,Catering & Food Quality
,The liquid soap dispenser in the toilet was empty,Cleanliness & Housekeeping
,The railway staff was chewing tobacco and spitting on the platform,Staff Behavior & Customer Service
,Unauthorised hawkers were blocking the coach entrance,Security & Rpf
,The station premises were very dirty with garbage everywhere,Station Management & Infrastructure
,I was not able to select my preferred seat during booking,Commercial & Ticketing
,The window shutter was jammed and could not be opened or closed,Technical Maintenance (Coach)
,Train was rescheduled to a later time without any proper reason given,Operations & Scheduling
,The bread served for breakfast was expired,Catering & Food Quality
,The wash basin was clogged and dirty,Cleanliness & Housekeeping
,The staff did not know Hindi or English causing communication problems,Staff Behavior & Customer Service
,People were traveling without tickets in the reserved coach,Security & Rpf
,The digital display boards were showing wrong information,Station Management & Infrastructure
,I have not received the refund for my failed booking transaction,Commercial & Ticketing
,The overhead luggage rack was broken,Technical Maintenance (Coach)
,The train stopped in the middle of nowhere for 2 hours,Operations & Scheduling
,The coffee machine in the pantry was not working,Catering & Food Quality
,The floor of the coach was sticky and dirty,Cleanliness & Housekeeping
,The staff was more interested in watching movies on their phones than helping,Staff Behavior & Customer Service
,A fight broke out between passengers and there was no security,Security & Rpf
,The waiting hall was too small for the number of passengers,Station Management & Infrastructure
,The senior citizen quota seats were all booked within seconds of opening,Commercial & Ticketing
,The light in the toilet was not working,Technical Maintenance (Coach)
,The train arrival time kept changing on the app causing confusion,Operations & Scheduling
,The meal was served very late almost at midnight,Catering & Food Quality
,The bed roll was not provided even in an AC coach,Cleanliness & Housekeeping
,The staff ignored my request for a wheelchair for my elderly mother,Staff Behavior & Customer Service
,Suspicious looking person was roaming in the coach at night,Security & Rpf
,The water taps on the platform were leaking,Station Management & Infrastructure
,The tatkal ticket booking system is always slow and unresponsive,Commercial & Ticketing
,The coach had a very bad smell throughout the journey,Cleanliness & Housekeeping
,The train was so jerky that it was difficult to sleep,Technical Maintenance (Coach)
,No announcement was made about the train s arrival on the platform,Operations & Scheduling
,The food options for diabetic patients were not available,Catering & Food Quality
,The toilet was out of water for several hours,Cleanliness & Housekeeping
,I was misinformed about the train s schedule by the inquiry office,Staff Behavior & Customer Service
,A passenger was harassed and the RPF did not take any action,Security & Rpf
,The station name board was not clearly visible from the train,Station Management & Infrastructure
,The fare for the same route keeps changing without any reason,Commercial & Ticketing
,The AC was too cold and the temperature could not be adjusted,Technical Maintenance (Coach)
,The train was short terminated at a different station without prior notice,Operations & Scheduling
,I found an insect in my food,Catering & Food Quality
,The coach was not cleaned before the journey started,Cleanliness & Housekeeping
,The staff was arguing with passengers over a small issue,Staff Behavior & Customer Service
,A lot of people were standing near the coach doors blocking the way,Security & Rpf
,The station does not have proper seating arrangements for passengers,Station Management & Infrastructure
,The website charged me a convenience fee even for a failed transaction,Commercial & Ticketing
,The armrest of my seat was broken,Technical Maintenance (Coach)
,The train was delayed causing me to miss my connecting flight,Operations & Scheduling
,The pantry car staff was not maintaining hygiene,Catering & Food Quality
,The bedsheets provided were damp,Cleanliness & Housekeeping
,The staff did not provide a proper bill for the food,Staff Behavior & Customer Service
,People were drinking alcohol inside the coach,Security & Rpf
,The fans on the platform were not working,Station Management & Infrastructure
,The book a meal option was not working on the website,Commercial & Ticketing
,The coach was making a lot of noise during the journey,Technical Maintenance (Coach)
,The train was running late but the app showed it as on time,Operations & Scheduling
,The food served was completely different from what was shown on the menu,Catering & Food Quality
,The toilet was not cleaned even after multiple complaints,Cleanliness & Housekeeping
,The staff at the ticket counter was very slow and inefficient,Staff Behavior & Customer Service
,The emergency chain was pulled for no reason and the train stopped,Security & Rpf
,The station was very dimly lit at night,Station Management & Infrastructure
,I was unable to cancel my ticket online due to a website error,Commercial & Ticketing
,The water cooler in the coach was not working,Technical Maintenance (Coach)
,The train s coach position was changed at the last minute,Operations & Scheduling
,The food was tasteless and seemed to be made from old stock,Catering & Food Quality
,The pillow provided was very hard and uncomfortable,Cleanliness & Housekeeping
,The staff was not able to provide a first aid kit when needed,Staff Behavior & Customer Service
,A lot of stray dogs were roaming on the station platform,Security & Rpf
,There were no signs to guide passengers to the correct platform,Station Management & Infrastructure
,The price of the ticket was too high for the quality of service provided,Commercial & Ticketing
,The AC filter was very dusty and was not cleaned,Technical Maintenance (Coach)
,The train was held up for a long time to allow a freight train to pass,Operations & Scheduling
,The food served was not hot,Catering & Food Quality
,The coach had a pest control problem saw many insects,Cleanliness & Housekeeping
,The staff was not enforcing the no smoking rule,Staff Behavior & Customer Service
,The train doors were not being monitored by any security staff,Security & Rpf
,The station did not have a clean drinking water facility,Station Management & Infrastructure
,The online portal for filing complaints was not working,Commercial & Ticketing
,The curtains in the AC coach were torn and dirty,Technical Maintenance (Coach)
,The train was announced on the wrong platform,Operations & Scheduling
,The menu in the pantry car was very limited,Catering & Food Quality
,The washroom was not cleaned for the entire 24 hour journey,Cleanliness & Housekeeping
,The staff was not helping senior citizens with their luggage,Staff Behavior & Customer Service
,People were traveling with oversized luggage blocking the aisle,Security & Rpf
,The station did not have proper wheelchair ramps,Station Management & Infrastructure
,The refund amount for my cancelled ticket was incorrect,Commercial & Ticketing
,The charging sockets were loose and not working reliably,Technical Maintenance (Coach)
,The train was excessively late and no apology or explanation was offered,Operations & Scheduling
,The packaged drinking water sold was above the MRP,Catering & Food Quality
,The coach was not properly sanitized before the journey,Cleanliness & Housekeeping
,The TTE did not have change for a large currency note,Staff Behavior & Customer Service
,The train was stopped by protesters and there was no security,Security & Rpf
,The digital coach position indicators on the platform were not working,Station Management & Infrastructure
,The system does not allow booking a return journey for certain trains,Commercial & Ticketing
,The table attached to the seat was broken,Technical Maintenance (Coach)
,The train was running late but the staff had no information on the new arrival time,Operations & Scheduling
,The poha served for breakfast was dry and hard,Catering & Food Quality
,The dustbin lid was broken and garbage was spilling out,Cleanliness & Housekeeping
,The staff was playing loud music on their phones disturbing passengers,Staff Behavior & Customer Service
,The security helpline number was not reachable,Security & Rpf
,The platform was littered with food waste,Station Management & Infrastructure
,The captcha on the booking website is too difficult to read,Commercial & Ticketing
,The door between coaches was jammed,Technical Maintenance (Coach)
,The train s schedule is consistently unreliable,Operations & Scheduling
,The veg meal I ordered had a piece of chicken in it,Catering & Food Quality
,The toilet ran out of toilet paper very quickly,Cleanliness & Housekeeping
,The staff did not wake me up at my destination station as requested,Staff Behavior & Customer Service
,People were making video calls on speakerphone late at night,Security & Rpf
,The station s parking area was chaotic and poorly managed,Station Management & Infrastructure
,The website is not mobile friendly making booking difficult,Commercial & Ticketing
,The air conditioning was making a loud rattling noise,Technical Maintenance (Coach)
,The train was delayed due to a technical snag in the engine,Operations & Scheduling
,The food was delivered without any spoon or fork,Catering & Food Quality
,The liquid handwash was diluted with water,Cleanliness & Housekeeping
,The staff was not trained to handle passenger queries effectively,Staff Behavior & Customer Service
,Some passengers were misbehaving with female travelers,Security & Rpf
,The station did not have a proper medical facility or first aid post,Station Management & Infrastructure
,The print ticket option on the website leads to an error page,Commercial & Ticketing
,The mechanism to recline the seat was not working,Technical Maintenance (Coach)
,The train was waiting for a VIP train to pass causing a delay,Operations & Scheduling
,The tea was served in a dirty cup,Catering & Food Quality
,The coach smelled of cigarette smoke,Cleanliness & Housekeeping
,The staff was not courteous towards passengers with children,Staff Behavior & Customer Service
,The train was overcrowded and people were sitting on the floor,Security & Rpf
,The information kiosk at the station was not working,Station Management & Infrastructure
,The fare difference was not refunded after a ticket upgrade,Commercial & Ticketing
,The water tap in the washroom was broken and leaking,Technical Maintenance (Coach)
,The train was delayed but the online status was not updated for hours,Operations & Scheduling
,The food sold by unauthorized vendors was unhygienic,Catering & Food Quality
,The coach windows were very dirty blocking the view,Cleanliness & Housekeeping
,The staff promised to provide a blanket but never did,Staff Behavior & Customer Service
,The presence of beggars in the coach is a constant disturbance,Security & Rpf
,The platform is too low making it difficult to board the train,Station Management & Infrastructure
,The payment gateway on the app failed multiple times,Commercial & Ticketing
,The ladder to the upper berth was broken,Technical Maintenance (Coach)
,The train s departure was delayed without any announcement,Operations & Scheduling
,The food served was not fresh,Catering & Food Quality
,The aisle was blocked with luggage making it difficult to walk,Cleanliness & Housekeeping
,The staff was not able to communicate in the local language,Staff Behavior & Customer Service
,There was no separate queue for senior citizens at the ticket counter,Station Management & Infrastructure
,The train was stopped due to a signal failure,Operations & Scheduling
,The online booking system does not show all available trains for a route,Commercial & Ticketing
,The window glass was rattling loudly throughout the journey,Technical Maintenance (Coach)
,The train was diverted from its original route increasing the travel time,Operations & Scheduling
,The food was extremely oily and unhealthy,Catering & Food Quality
,The coach was not sprayed with insect repellent,Cleanliness & Housekeeping
,The staff was not available at their designated seats,Staff Behavior & Customer Service
,A passenger was openly carrying a weapon and no one took action,Security & Rpf
,The station did not have enough seating for waiting passengers,Station Management & Infrastructure
,I was charged for a meal I did not order,Commercial & Ticketing
,The curtain separating the berths was missing,Technical Maintenance (Coach)
,The train was running late due to bad weather but there were no updates,Operations & Scheduling
,The salt and pepper sachets were not provided with the meal,Catering & Food Quality
,The area around the washbasin was very wet and slippery,Cleanliness & Housekeeping
,The staff was indifferent to a medical emergency on board,Staff Behavior & Customer Service
,The coach was not properly checked for suspicious objects,Security & Rpf
,The station s toilets were extremely dirty and unusable,Station Management & Infrastructure
,The ticket confirmation SMS was not received after booking,Commercial & Ticketing
,The footrest of the seat was broken,Technical Maintenance (Coach)
,The train was delayed because the driver arrived late,Operations & Scheduling
,The pantry car did not have a fire extinguisher,Catering & Food Quality
,The bed roll was incomplete it was missing a pillow,Cleanliness & Housekeeping
,The staff at the inquiry counter gave wrong information deliberately,Staff Behavior & Customer Service
,The security staff was sleeping on duty,Security & Rpf
,There were too many stray animals on the station premises,Station Management & Infrastructure
,The fare was deducted but the ticket was not booked,Commercial & Ticketing
,The door handle of the toilet was broken,Technical Maintenance (Coach)
,The train was late and the staff was clueless about the reason,Operations & Scheduling
,The food served was contaminated and I fell sick,Catering & Food Quality
,The coach was not cleaned during a halt at a major station,Cleanliness & Housekeeping
,The staff was not responding to the call bell,Staff Behavior & Customer Service
,The train was stopped in a dark isolated area at night,Security & Rpf
,The station did not have a proper announcement system,Station Management & Infrastructure
,The website logged me out while I was making the payment,Commercial & Ticketing
,The mirror in the coach was cracked,Technical Maintenance (Coach)
,The train was delayed due to a strike but this was not communicated earlier,Operations & Scheduling
,The food was served in unhygienic dirty trays,Catering & Food Quality
,The toilet was stinking up the entire coach,Cleanliness & Housekeeping
,The staff was demanding a bribe for a confirmed seat,Staff Behavior & Customer Service
,The coach was full of unauthorized people making it unsafe,Security & Rpf
,The station did not have proper lighting on the foot over bridge,Station Management & Infrastructure
,The PNR status was not updating correctly on the website,Commercial & Ticketing
,The water in the toilet was yellow and dirty,Cleanliness & Housekeeping
,The fan was making a loud creaking noise,Technical Maintenance (Coach)
,The train s arrival platform was changed at the very last second,Operations & Scheduling
,The food was not properly covered and had flies on it,Catering & Food Quality
,The coach had a very musty smell like it hadn t been aired out,Cleanliness & Housekeeping
,The staff was rude to my parents who are senior citizens,Staff Behavior & Customer Service
,Someone was smoking in the non smoking area of the station,Security & Rpf
,The station s water cooler was dispensing warm water,Station Management & Infrastructure
,The forgot password link on the booking website does not work,Commercial & Ticketing
,The seat numbers were peeling off and were hard to read,Technical Maintenance (Coach)
,The train departed from the station earlier than the scheduled time,Operations & Scheduling
,The soup served was too salty to be consumed,Catering & Food Quality
,The bedsheet had lipstick marks on it,Cleanliness & Housekeeping
,The TTE was not checking tickets allowing anyone to board,Staff Behavior & Customer Service
,The coach was left open and unattended at a station,Security & Rpf
,The dustbins on the platform were overflowing with garbage,Station Management & Infrastructure
,The session timed out too quickly on the booking app,Commercial & Ticketing
,The emergency exit was blocked with luggage,Technical Maintenance (Coach)
,The train was running late by more than 8 hours,Operations & Scheduling
,The food was served without any cutlery,Catering & Food Quality
,The toilet was not just dirty it was broken and unusable,Cleanliness & Housekeeping
,The staff was not trained to handle customer complaints,Staff Behavior & Customer Service
,The RPF personnel were busy on their phones instead of patrolling,Security & Rpf
,The station was waterlogged after a short spell of rain,Station Management & Infrastructure
,The ticket was cancelled automatically by the system for no reason,Commercial & Ticketing
,The vestibule between coaches was broken and unsafe,Technical Maintenance (Coach)
,The train was halted due to a problem with the railway track,Operations & Scheduling
,The pantry car staff was seen washing utensils with dirty water,Catering & Food Quality
,The coach was not cleaned even once during a two day journey,Cleanliness & Housekeeping
,The staff was not providing a wheelchair even for a physically challenged person,Staff Behavior & Customer Service
,The train was targeted by stone pelters and the windows broke,Security & Rpf
,The station did not have a separate ticket counter for women,Station Management & Infrastructure
,The website crashed while I was trying to download my e ticket,Commercial & Ticketing
,The reading light was flickering continuously,Technical Maintenance (Coach)
,The train was delayed due to a change in the crew,Operations & Scheduling
,The food served was not the one I had ordered online,Catering & Food Quality
